
step 0: train loss 10.9116, val loss 10.9079
iter 1810: loss 4.0079, time 628.23ms, mfu 16.95%
iter 1820: loss 4.5280, time 627.56ms, mfu 16.95%
iter 1830: loss 4.4147, time 627.51ms, mfu 16.95%
iter 1840: loss 4.2318, time 628.51ms, mfu 16.95%
iter 1850: loss 4.4725, time 626.96ms, mfu 16.95%
iter 1860: loss 4.2513, time 627.45ms, mfu 16.96%
iter 1870: loss 4.2234, time 627.18ms, mfu 16.96%
iter 1880: loss 4.2419, time 628.24ms, mfu 16.96%
iter 1890: loss 4.4071, time 628.19ms, mfu 16.95%
iter 1900: loss 4.4095, time 626.66ms, mfu 16.96%
iter 1910: loss 4.3765, time 627.91ms, mfu 16.96%
iter 1920: loss 4.1298, time 628.75ms, mfu 16.95%
iter 1930: loss 4.4026, time 628.49ms, mfu 16.95%
iter 1940: loss 4.4272, time 627.23ms, mfu 16.95%
iter 1950: loss 4.2777, time 627.80ms, mfu 16.95%
iter 1960: loss 4.3864, time 628.27ms, mfu 16.95%
iter 1970: loss 4.5291, time 628.40ms, mfu 16.95%
iter 1980: loss 4.0396, time 628.11ms, mfu 16.95%
iter 1990: loss 4.3472, time 628.59ms, mfu 16.95%
step 2000: train loss 4.2454, val loss 4.2403
saving checkpoint to out
iter 2000: loss 4.1920, time 8216.18ms, mfu 15.38%
iter 2010: loss 4.0152, time 632.16ms, mfu 15.53%
iter 2020: loss 3.9203, time 628.51ms, mfu 15.67%
iter 2030: loss 4.2312, time 626.79ms, mfu 15.80%
iter 2040: loss 4.1901, time 627.49ms, mfu 15.92%
iter 2050: loss 4.2894, time 627.59ms, mfu 16.02%
iter 2060: loss 4.0166, time 628.12ms, mfu 16.11%
iter 2070: loss 3.9503, time 627.32ms, mfu 16.20%
iter 2080: loss 4.3613, time 626.97ms, mfu 16.28%
iter 2090: loss 4.2591, time 627.99ms, mfu 16.34%
iter 2100: loss 4.2332, time 627.90ms, mfu 16.40%
iter 2110: loss 4.2973, time 627.31ms, mfu 16.46%
iter 2120: loss 4.2435, time 626.31ms, mfu 16.51%
iter 2130: loss 4.1486, time 628.08ms, mfu 16.56%
iter 2140: loss 4.3728, time 627.64ms, mfu 16.60%
iter 2150: loss 3.9540, time 626.87ms, mfu 16.64%
iter 2160: loss 4.1767, time 627.62ms, mfu 16.67%
iter 2170: loss 4.1163, time 627.19ms, mfu 16.70%
iter 2180: loss 4.2864, time 628.04ms, mfu 16.72%
iter 2190: loss 4.0952, time 628.18ms, mfu 16.74%
iter 2200: loss 4.3015, time 626.35ms, mfu 16.77%
iter 2210: loss 4.1746, time 626.35ms, mfu 16.79%
